Monthly Report for the month of March 2023,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onMarch31, 2023","No. of Foliosas on March31, 2023","FundsMobilized forthe month ofMarch 2023(INR in crore)","Repurchase/Redemptionfor themonth ofMarch 2023(INR in crore)","Net AssetsUnderManagementas on March31, 2023 (INRin crore)","Average NetAssets UnderManagementfor themonth March2023 (INR incrore)","No. ofsegregatedportfolioscreatedas onMarch31, 2023","Net AssetsUnderManagement insegregated portfolioas onMarch 31,2023 (INRin crore)"
xv,Gilt Fund with 10 year constant duration,5,"44,501",160.22,662.92,"1,511.53","1,470.32",-,-
xvi,Floater Fund,12,"2,51,047","1,934.53","4,220.04","63,624.97","64,362.21",-,-
"","Sub Total - I(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",320,"72,32,956","8,30,437.25","7,81,272.96","13,03,233.66","13,40,153.55",10,247.04
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,14,"35,16,764","1,346.85",954.20,"62,108.53","60,938.09",-,-
ii,Large Cap Fund,31,"1,28,32,758","3,621.52","3,577.93","2,40,308.23","2,37,993.98",-,-
iii,Large & Mid Cap Fund,27,"72,58,212","2,437.93","1,406.96","1,22,862.47","1,20,902.06",-,-
iv,Mid Cap Fund,27,"94,20,335","3,716.62","2,237.21","1,78,094.34","1,74,220.03",-,-
v,Small Cap Fund,24,"88,89,305","2,759.76","1,499.78","1,20,464.00","1,17,225.51",-,-
vi,Dividend Yield Fund,8,"5,88,848",136.62,166.58,"10,172.05","10,123.99",-,-
vii,Value Fund/Contra Fund,22,"42,52,900","1,228.84",874.35,"85,681.59","84,301.04",-,-
viii,Focused Fund,27,"53,10,404","2,333.52","1,447.36","1,04,348.35","1,03,088.31",-,-
ix,Sectoral/Thematic Funds,118,"1,24,55,739","3,022.12","4,288.79","1,57,811.81","1,57,053.66",-,-
x,ELSS,39,"1,42,94,155","1,433.39","1,564.45","1,53,608.45","1,51,726.90",-,-
xi,Flexi Cap Fund,33,"1,22,85,444","5,808.55","3,708.57","2,42,438.49","2,38,963.24",-,-
"",Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),370,"9,11,04,864","27,845.75","21,726.17","14,77,898.31","14,56,536.80",-,-
"",,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,21,"5,15,506",535.56,334.51,"22,279.69","22,045.68",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,32,"52,18,497","2,756.33","2,011.42","1,55,900.46","1,54,496.02",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,26,"44,14,372","3,941.30","3,090.39","1,92,369.27","1,91,700.03",-,-
iv,Multi Asset Allocation Fund,9,"8,34,709",432.04,305.32,"21,081.59","22,030.17",-,-
v,Arbitrage Fund,26,"4,94,632","3,558.74","12,106.82","81,384.53","99,090.33",-,-
vi,Equity Savings Fund,22,"3,66,286",584.19,561.25,"17,358.68","17,874.79",2,25.81
"",Sub Total - III (i+ii+iii+iv+v+vi),136,"1,18,44,002","11,808.15","18,409.72","4,90,374.22","5,07,237.02",5,35.14
"",,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,25,"27,04,817",179.26,138.04,"17,407.58","17,169.93",-,-
ii,Childrens Fund,10,"29,03,665",100.80,49.48,"13,849.90","13,697.18",-,-
"",Sub Total - IV (i+ii),35,"56,08,482",280.06,187.52,"31,257.48","30,867.10",-,-
"",,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,102,"28,29,331","9,766.37","1,978.13","1,04,742.43","1,00,434.79",-,-
ii,GOLD ETF,11,"46,09,726",149.62,187.75,"19,832.10","19,967.38",-,-
iii,Other ETFs,136,"1,14,93,468","12,421.72","5,005.26","4,59,208.03","4,51,379.61",-,-
iv,Fund of funds investing overseas,46,"12,46,685",446.58,544.51,"20,507.49","21,507.31",-,-
"",Sub Total - V (i+ii+iii+iv),295,"2,01,79,210","22,784.29","7,715.66","6,04,290.04","5,93,289.09",-,-
"",,,,,,,,,
"",Total A-Open ended Schemes,"1,156","13,59,69,514","8,93,155.49","8,29,312.02","39,07,053.71","39,28,083.56",15,282.18
"",,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,92,"1,06,121","2,292.90",778.76,"16,110.17","14,581.23",-,-
ii,Capital Protection Oriented Schemes,9,"15,541",-,36.21,786.63,783.18,-,-
iii,Infrastructure Debt Fund,8,80,-,-,"2,056.50","2,052.95",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
"",Sub Total (i+ii+iii+iv),109,"1,21,742","2,292.90",814.97,"18,953.30","17,417.36",-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"3,06,845",-,40.51,"3,693.68","3,665.13",-,-
ii,Other Equity Schemes,13,"73,765",-,136.83,"3,358.13","3,431.76",-,-
"",Sub Total (i+ii),32,"3,80,610",-,177.34,"7,051.81","7,096.89",-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total B -Close ended Schemes,141,"5,02,352","2,292.90",992.30,"26,005.11","24,514.25",-,-
"",,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,952",269.83,336.43,818.95,825.47,-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total C Interval Schemes,12,"2,952",269.83,336.43,818.95,825.47,-,-
"",,,,,,,,,
"",Grand Total,"1,309","13,64,74,818","8,95,718.22","8,30,640.76","39,33,877.77","39,53,423.28",15,282.18
"",,,,,,,,,
"",Fund of Funds Scheme (Domestic) **,"##  72","17,81,488","2,574.71",892.16,"55,483.13","54,903.21",-,-
Monthly Report for the month of July 2022,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onJuly 31,2022","No. of Foliosas on July 31,2022","FundsMobilized forthe month ofJuly 2022(INR in crore)","Repurchase/Redemptionfor themonth of July2022 (INR incrore)","Net AssetsUnderManagementas on July 31,2022 (INR incrore)","Average NetAssets UnderManagementfor themonth July2022 (INR incrore)","No. ofsegregatedportfolioscreatedas onJuly 31,2022","Net AssetsUnderManagement insegregated portfolioas on July31, 2022(INR incrore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,30,"6,14,247","4,62,219.10","4,42,300.44","1,23,409.85","1,36,240.23",-,-
ii,Liquid Fund,37,"17,51,686","2,56,150.90","2,63,843.55","3,58,401.53","4,21,458.65",-,-
iii,Ultra Short Duration Fund,26,"6,16,009","17,689.89","13,961.87","90,773.57","90,400.83",-,-
iv,Low Duration Fund,22,"10,04,139","10,246.51","10,892.10","99,305.03","1,02,401.04",1,-
v,Money Market Fund,20,"4,16,108","26,382.69","23,743.94","1,11,688.71","1,14,410.65",-,-
vi,Short Duration Fund,25,"5,40,403",950.46,"2,822.38","95,152.93","96,182.11",-,-
vii,Medium Duration Fund,16,"2,65,574",177.70,723.31,"28,838.47","28,900.16",4,130.54
viii,Medium to Long Duration Fund,13,"1,13,099",61.61,225.95,"9,043.78","9,053.68",-,-
ix,Long Duration Fund,2,"23,848",45.20,12.42,"2,570.32","2,546.77",-,-
x,Dynamic Bond Fund,25,"2,23,827",272.18,363.37,"21,846.88","21,774.91",1,50.06
xi,Corporate Bond Fund,21,"6,34,713",637.87,"3,220.09","1,13,857.28","1,14,908.05",-,-
xii,Credit Risk Fund,15,"2,62,757",169.09,381.78,"26,192.42","26,217.59",4,66.33
xiii,Banking and PSU Fund,22,"3,13,127",592.13,"3,401.77","82,678.36","84,535.29",-,-
xiv,Gilt Fund,21,"1,71,254",166.88,280.37,"15,136.72","15,158.72",-,-
xv,Gilt Fund with 10 year constant duration,4,"42,393",53.15,30.00,"1,988.09","1,959.46",-,-
xvi,Floater Fund,12,"2,53,053","1,459.39","6,141.35","65,541.86","67,536.65",-,-
"","Sub Total - I(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",311,"72,46,237","7,77,274.75","7,72,344.67","12,46,425.81","13,33,684.79",10,246.93
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,14,"34,59,965","1,057.08",533.07,"59,303.98","56,450.78",-,-
ii,Large Cap Fund,30,"1,27,98,164","3,142.63","2,051.72","2,31,851.80","2,21,787.96",-,-
iii,Large & Mid Cap Fund,27,"71,81,262","2,328.99","1,209.20","1,17,218.53","1,11,700.45",-,-
iv,Mid Cap Fund,26,"92,45,074","2,599.35","1,354.68","1,68,438.05","1,60,389.80",-,-
v,Small Cap Fund,24,"86,59,248","2,705.41",925.96,"1,13,332.11","1,08,472.12",-,-
vi,Dividend Yield Fund,8,"5,87,383",102.58,87.55,"9,946.11","9,524.38",-,-
vii,Value Fund/Contra Fund,22,"42,03,723","1,083.25",656.24,"82,030.24","78,483.18",-,-
viii,Focused Fund,26,"52,70,192","1,684.01",911.49,"99,933.56","95,291.31",-,-
ix,Sectoral/Thematic Funds,118,"1,24,55,778","3,156.32","2,940.85","1,54,214.16","1,48,315.21",-,-
x,ELSS,39,"1,42,34,392","1,320.54",992.69,"1,47,910.92","1,41,039.13",-,-
xi,Flexi Cap Fund,31,"1,21,57,663","3,473.89","2,092.34","2,31,327.51","2,20,776.98",-,-
"",Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),365,"9,02,52,844","22,654.05","13,755.80","14,15,506.96","13,52,231.30",-,-
"",,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,21,"5,13,330",353.19,333.38,"21,715.43","21,483.82",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,32,"51,91,744","2,166.56","1,480.38","1,50,660.23","1,45,724.53",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,25,"43,86,473","2,692.38","2,138.44","1,86,630.06","1,83,463.51",-,-
iv,Multi Asset Allocation Fund,9,"8,29,737",388.25,210.49,"20,404.37","20,825.41",-,-
v,Arbitrage Fund,25,"5,00,402","3,552.06","9,959.61","89,117.44","1,06,812.63",-,-
vi,Equity Savings Fund,22,"3,66,728",388.47,564.95,"17,079.97","17,592.83",2,25.81
"",Sub Total - III (i+ii+iii+iv+v+vi),134,"1,17,88,414","9,540.92","14,687.24","4,85,607.50","4,95,902.72",5,35.14
"",,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,25,"26,98,992",158.27,96.63,"16,764.79","16,225.78",-,-
ii,Childrens Fund,10,"29,00,909",85.89,36.61,"13,401.98","12,989.08",-,-
"",Sub Total - IV (i+ii),35,"55,99,901",244.16,133.24,"30,166.77","29,214.86",-,-
"",,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,95,"27,51,698","7,779.80","1,000.57","94,589.49","88,605.98",-,-
ii,GOLD ETF,11,"46,42,602",0.96,457.71,"20,037.76","19,987.66",-,-
iii,Other ETFs,126,"1,15,34,916","11,021.11","3,386.08","4,36,116.37","4,13,003.15",-,-
iv,Fund of funds investing overseas,46,"12,60,136",564.30,251.25,"21,175.64","20,135.89",-,-
"",Sub Total - V (i+ii+iii+iv),278,"2,01,89,352","19,366.17","5,095.61","5,71,919.25","5,41,732.67",-,-
"",,,,,,,,,
"",Total A-Open ended Schemes,"1,123","13,50,76,748","8,29,080.04","8,06,016.55","37,49,626.29","37,52,766.34",15,282.07
"",,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,94,"89,730","1,430.03",831.21,"14,486.62","13,715.77",-,-
ii,Capital Protection Oriented Schemes,10,"16,229",-,-,814.44,809.02,-,-
iii,Infrastructure Debt Fund,8,80,-,-,"2,046.44","2,042.88",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
"",Sub Total (i+ii+iii+iv),112,"1,06,039","1,430.03",831.21,"17,347.50","16,567.67",-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"3,08,723",-,15.62,"3,588.88","3,441.67",-,-
ii,Other Equity Schemes,14,"79,179",-,-,"3,349.71","3,201.58",-,-
"",Sub Total (i+ii),33,"3,87,902",-,15.62,"6,938.58","6,643.25",-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total B -Close ended Schemes,145,"4,93,941","1,430.03",846.83,"24,286.09","23,210.92",-,-
"",,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,964",57.01,98.77,890.51,933.89,-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total C Interval Schemes,12,"2,964",57.01,98.77,890.51,933.89,-,-
"",,,,,,,,,
"",Grand Total,"1,280","13,55,73,653","8,30,567.07","8,06,962.15","37,74,802.90","37,76,911.15",15,282.07
"",,,,,,,,,
"",Fund of Funds Scheme (Domestic) **,71,"17,75,656","2,530.26",531.30,"53,336.64","51,391.88",-,-
Monthly Report for the month of June 2022,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onJune 30,2022","No. of Foliosas on June30, 2022","FundsMobilized forthe month ofJune 2022(INR in crore)","Repurchase/Redemptionfor themonth ofJune 2022(INR in crore)","Net AssetsUnderManagementas on June30, 2022 (INRin crore)","Average NetAssets UnderManagementfor themonth June2022 (INR incrore)","No. ofsegregatedportfolioscreatedas onJune 30,2022","Net AssetsUnderManagement insegregated portfolioas on June30, 2022(INR incrore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,30,"6,11,507","5,26,275.02","5,46,943.09","1,02,944.95","1,52,639.12",-,-
ii,Liquid Fund,37,"17,49,619","2,98,147.68","3,13,930.32","3,64,492.65","4,05,242.55",-,-
iii,Ultra Short Duration Fund,27,"6,14,710","13,938.47","23,996.46","86,632.74","92,354.06",-,-
iv,Low Duration Fund,22,"10,13,889","4,687.96","13,220.31","99,428.94","1,04,096.56",1,-
v,Money Market Fund,20,"4,14,995","20,103.15","28,229.27","1,08,586.56","1,09,588.59",-,-
vi,Short Duration Fund,25,"5,45,864",643.32,"7,292.22","96,256.08","99,023.66",-,-
vii,Medium Duration Fund,16,"2,68,362",150.93,"1,379.26","28,890.94","29,280.51",4,130.50
viii,Medium to Long Duration Fund,13,"1,13,016",41.67,208.83,"9,113.33","9,165.79",-,-
ix,Long Duration Fund,2,"23,951",55.82,19.18,"2,508.48","2,469.41",-,-
x,Dynamic Bond Fund,25,"2,24,531",175.45,913.13,"21,667.60","22,064.29",1,50.05
xi,Corporate Bond Fund,21,"6,38,542",489.79,"9,575.81","1,15,545.39","1,19,144.85",-,-
xii,Credit Risk Fund,15,"2,64,066",158.31,640.73,"26,161.93","26,350.39",4,66.30
xiii,Banking and PSU Fund,22,"3,16,076",644.95,"4,526.23","84,974.05","87,269.11",-,-
xiv,Gilt Fund,21,"1,73,032",146.14,174.21,"15,120.58","15,069.53",-,-
xv,Gilt Fund with 10 year constant duration,4,"42,765",259.42,38.74,"1,938.23","1,799.51",-,-
xvi,Floater Fund,12,"2,54,706","1,341.75","8,419.69","69,811.34","72,309.47",-,-
"","Sub Total - I(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",312,"72,69,631","8,67,259.84","9,59,507.47","12,34,073.78","13,47,867.40",10,246.85
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,14,"33,89,335","1,378.79",408.54,"53,297.70","53,186.60",-,-
ii,Large Cap Fund,31,"1,27,50,858","3,860.81","1,730.46","2,12,074.38","2,12,716.10",-,-
iii,Large & Mid Cap Fund,27,"70,88,163","3,129.74","1,135.01","1,05,880.69","1,05,453.08",-,-
iv,Mid Cap Fund,26,"91,32,054","3,041.38","1,189.71","1,50,744.39","1,50,723.62",-,-
v,Small Cap Fund,24,"84,79,510","2,581.47",965.54,"1,02,481.52","1,02,090.23",-,-
vi,Dividend Yield Fund,8,"5,84,894",145.36,78.86,"9,145.31","9,223.11",-,-
vii,Value Fund/Contra Fund,22,"41,56,360","1,321.73",474.58,"75,220.51","75,216.96",-,-
viii,Focused Fund,26,"52,36,415","2,061.70",870.13,"90,621.98","90,751.23",-,-
ix,Sectoral/Thematic Funds,118,"1,24,14,900","3,828.49","2,150.68","1,41,636.05","1,41,953.06",-,-
x,ELSS,39,"1,41,88,907","1,467.18",827.12,"1,34,225.70","1,35,193.62",-,-
xi,Flexi Cap Fund,31,"1,20,74,588","4,720.39","2,208.65","2,10,682.47","2,11,296.44",-,-
"",Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),366,"8,94,95,984","27,537.04","12,039.28","12,86,010.69","12,87,804.06",-,-
"",,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,21,"5,10,428",468.43,293.22,"21,153.44","21,114.58",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,32,"51,57,150","2,406.70","1,276.60","1,40,512.97","1,41,070.16",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,25,"43,58,661","3,589.73","1,790.32","1,77,714.13","1,78,619.12",-,-
iv,Multi Asset Allocation Fund,10,"8,26,549",411.98,268.10,"19,225.27","20,383.41",-,-
v,Arbitrage Fund,25,"5,02,918","5,576.75","11,170.05","95,229.42","1,12,120.53",-,-
vi,Equity Savings Fund,22,"3,64,946",590.95,525.68,"16,919.01","17,476.08",2,25.81
"",Sub Total - III (i+ii+iii+iv+v+vi),135,"1,17,20,652","13,044.54","15,323.98","4,70,754.24","4,90,783.88",5,35.14
"",,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,25,"26,96,013",166.98,87.88,"15,673.05","15,682.31",-,-
ii,Childrens Fund,10,"28,99,529",89.60,31.29,"12,554.00","12,563.38",-,-
"",Sub Total - IV (i+ii),35,"55,95,542",256.58,119.17,"28,227.06","28,245.69",-,-
"",,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,94,"27,00,762","7,975.16",674.03,"83,407.85","79,191.85",-,-
ii,GOLD ETF,11,"46,05,088",251.71,116.88,"20,248.59","20,121.48",-,-
iii,Other ETFs,124,"1,15,26,763","8,703.52","3,344.96","3,98,153.52","3,98,881.59",-,-
iv,Fund of funds investing overseas,46,"12,60,239",554.01,238.90,"19,295.93","19,607.47",-,-
"",Sub Total - V (i+ii+iii+iv),275,"2,00,92,852","17,484.40","4,374.77","5,21,105.89","5,17,802.39",-,-
"",,,,,,,,,
"",Total A-Open ended Schemes,"1,123","13,41,74,661","9,25,582.40","9,91,364.68","35,40,171.65","36,72,503.43",15,281.99
"",,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,95,"79,009",-,"3,985.02","13,773.94","15,621.25",-,-
ii,Capital Protection Oriented Schemes,10,"16,206",-,-,801.54,801.22,-,-
iii,Infrastructure Debt Fund,8,80,-,-,"2,035.51","2,032.15",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
"",Sub Total (i+ii+iii+iv),113,"95,295",-,"3,985.02","16,610.99","18,454.63",-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"3,09,684",-,17.36,"3,306.42","3,343.54",-,-
ii,Other Equity Schemes,14,"79,199",-,0.01,"3,072.41","3,084.24",-,-
"",Sub Total (i+ii),33,"3,88,883",-,17.37,"6,378.83","6,427.79",-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total B -Close ended Schemes,146,"4,84,178",-,"4,002.39","22,989.82","24,882.41",-,-
"",,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,979",99.52,167.79,928.74,940.96,-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total C Interval Schemes,12,"2,979",99.52,167.79,928.74,940.96,-,-
"",,,,,,,,,
"",Grand Total,"1,281","13,46,61,818","9,25,681.92","9,95,534.86","35,64,090.20","36,98,326.80",15,281.99
"",,,,,,,,,
"",Fund of Funds Scheme (Domestic) **,71,"17,63,229","2,422.12",546.94,"49,687.50","48,710.19",-,-
Monthly Report for the month of May 2022,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onMay 31,2022","No. of Foliosas on May31, 2022","FundsMobilized forthe month ofMay 2022(INR in crore)","Repurchase/Redemptionfor themonth ofMay 2022(INR in crore)","Net AssetsUnderManagementas on May31, 2022 (INRin crore)","Average NetAssets UnderManagementfor themonth May2022 (INR incrore)","No. ofsegregatedportfolioscreatedas onMay 31,2022","Net AssetsUnderManagement insegregated portfolioas on May31, 2022(INR incrore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,30,"5,85,062","4,81,769.34","4,66,698.45","1,23,029.97","1,36,494.28",-,-
ii,Liquid Fund,37,"17,46,868","2,45,143.87","2,43,366.99","3,78,743.93","3,75,867.95",-,-
iii,Ultra Short Duration Fund,27,"6,15,426","11,883.16","18,988.11","96,331.99","1,00,701.29",-,-
iv,Low Duration Fund,22,"10,27,226","8,129.58","14,845.88","1,07,762.80","1,11,473.75",1,-
v,Money Market Fund,20,"4,14,354","14,844.94","29,443.60","1,16,260.30","1,25,223.32",-,-
vi,Short Duration Fund,25,"5,55,760","1,822.68","10,425.71","1,02,556.85","1,07,755.15",-,-
vii,Medium Duration Fund,16,"2,72,693",169.38,"1,391.78","30,036.34","30,516.60",4,130.45
viii,Medium to Long Duration Fund,13,"1,13,683",34.73,283.18,"9,258.89","9,381.09",-,-
ix,Long Duration Fund,2,"24,068",40.33,42.58,"2,466.38","2,472.26",-,-
x,Dynamic Bond Fund,25,"2,26,595",219.75,"2,634.03","22,342.31","22,840.38",1,50.03
xi,Corporate Bond Fund,21,"6,45,312","2,755.97","4,902.47","1,24,499.51","1,26,221.07",-,-
xii,Credit Risk Fund,15,"2,66,016",151.32,880.92,"26,588.78","26,826.95",4,66.29
xiii,Banking and PSU Fund,22,"3,20,548","2,397.85","3,518.86","88,745.18","89,936.77",-,-
xiv,Gilt Fund,21,"1,74,343",533.42,357.77,"15,108.84","15,107.41",-,-
xv,Gilt Fund with 10 year constant duration,4,"43,242",502.96,55.64,"1,708.98","1,565.87",-,-
xvi,Floater Fund,12,"2,56,330","1,951.15","7,236.70","76,832.59","79,700.51",-,-
"","Sub Total - I(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",312,"72,87,526","7,72,350.42","8,05,072.67","13,22,273.65","13,62,084.65",10,246.77
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,14,"33,08,382","1,698.86",433.85,"54,714.45","53,375.43",-,-
ii,Large Cap Fund,31,"1,26,60,337","4,422.16","1,936.80","2,19,835.52","2,14,430.81",-,-
iii,Large & Mid Cap Fund,27,"69,79,727","3,359.37",945.86,"1,08,775.63","1,06,027.93",-,-
iv,Mid Cap Fund,26,"90,14,944","3,342.32","1,510.78","1,55,831.89","1,52,915.82",-,-
v,Small Cap Fund,24,"83,30,982","2,947.11","1,178.03","1,04,738.77","1,03,407.67",-,-
vi,Dividend Yield Fund,8,"5,79,754",154.27,73.43,"9,565.15","9,418.06",-,-
vii,Value Fund/Contra Fund,22,"41,14,712","1,746.43",588.42,"77,908.18","76,312.55",-,-
viii,Focused Fund,26,"51,86,385","2,480.14",931.64,"93,943.44","91,728.44",-,-
ix,Sectoral/Thematic Funds,118,"1,23,03,099","4,805.19","2,513.40","1,46,708.85","1,43,476.62",-,-
x,ELSS,39,"1,41,12,957","1,668.76",921.92,"1,40,800.32","1,38,087.55",-,-
xi,Flexi Cap Fund,31,"1,19,57,355","4,994.69","2,055.76","2,18,723.73","2,13,348.82",-,-
"",Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),366,"8,85,48,634","31,619.32","13,089.88","13,31,545.93","13,02,529.70",-,-
"",,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,21,"5,08,531",423.03,374.88,"21,148.90","21,037.14",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,32,"51,16,432","2,751.43","1,370.96","1,44,800.05","1,42,987.55",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,25,"43,20,518","4,192.31","1,944.44","1,80,023.57","1,78,376.88",-,-
iv,Multi Asset Allocation Fund,10,"8,16,589",488.53,248.52,"19,727.14","20,562.39",-,-
v,Arbitrage Fund,25,"5,02,163","8,853.75","7,846.38","99,976.46","1,14,269.85",-,-
vi,Equity Savings Fund,22,"3,61,971",773.97,574.58,"17,080.92","17,397.63",2,25.81
"",Sub Total - III (i+ii+iii+iv+v+vi),135,"1,16,26,204","17,483.02","12,359.77","4,82,757.04","4,94,631.44",5,35.14
"",,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,25,"26,92,309",189.46,90.42,"16,064.56","15,801.86",-,-
ii,Childrens Fund,10,"28,97,684",99.28,38.48,"12,833.24","12,644.70",-,-
"",Sub Total - IV (i+ii),35,"55,89,993",288.75,128.90,"28,897.81","28,446.56",-,-
"",,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,94,"26,39,016","6,815.83","1,092.54","78,047.39","74,452.34",-,-
ii,GOLD ETF,11,"45,06,327",334.32,130.94,"20,261.99","20,042.85",-,-
iii,Other ETFs,124,"1,13,88,264","11,710.55","5,654.49","4,09,693.33","4,00,692.49",-,-
iv,Fund of funds investing overseas,46,"12,57,625",513.90,267.64,"20,411.69","19,676.44",-,-
"",Sub Total - V (i+ii+iii+iv),275,"1,97,91,232","19,374.60","7,145.61","5,28,414.39","5,14,864.12",-,-
"",,,,,,,,,
"",Total A-Open ended Schemes,"1,123","13,28,43,589","8,41,116.10","8,37,796.83","36,93,888.82","37,02,556.46",15,281.91
"",,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,121,"95,982",-,"10,039.06","17,602.50","23,317.12",-,-
ii,Capital Protection Oriented Schemes,10,"16,205",-,534.50,805.11,"1,315.72",-,-
iii,Infrastructure Debt Fund,8,80,-,-,"2,027.08","2,020.60",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
"",Sub Total (i+ii+iii+iv),139,"1,12,267",-,"10,573.56","20,434.69","26,653.44",-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"3,10,637",-,20.35,"3,497.52","3,440.71",-,-
ii,Other Equity Schemes,14,"79,231",-,840.30,"3,198.01","3,871.03",-,-
"",Sub Total (i+ii),33,"3,89,868",-,860.65,"6,695.53","7,311.75",-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total B -Close ended Schemes,172,"5,02,135",-,"11,434.20","27,130.23","33,965.19",-,-
"",,,,,,,,,
C,Interval Schemes,,,,,,,,
